,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,296.0,26.0,65.0,340.0,61.0,235.0,281.0,52.0,0.0,270.0,130.0,47.0,567.0,34.0,0.0,0.0,40.0,24.0,71.0,38.0,0.0,1124.0,1516.0,607.0,18.0,47.0,0.0,62.0,149.0,375.0
hashrate,0.002693485714285714,0.00023658996138996142,0.0005914749034749034,0.003093868725868726,0.0005550764478764479,0.0021384092664092666,0.002556991505791506,0.00047317992277992284,0.0,0.002456895752895753,0.0011829498069498069,0.0004276818532818533,0.005159481081081081,0.0003093868725868726,0.0,0.0,0.000363984555984556,0.00021839073359073357,0.0006460725868725869,0.0003457853281853282,0.0,0.010227966023166024,0.013795014671814671,0.005523465637065637,0.00016379305019305018,0.0004276818532818533,0.0,0.0005641760617760618,0.001355842471042471,0.0034123552123552126
