,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,428.0,16.0,70.0,353.0,47.0,235.0,288.0,56.0,13.0,264.0,130.0,59.0,562.0,27.0,0.0,0.0,32.0,36.0,59.0,42.0,0.0,1247.0,1510.0,613.0,18.0,45.0,0.0,72.0,150.0,400.0
hashrate,0.006668381571175428,0.00024928529238038983,0.0010906231541642055,0.005499856763142351,0.0007322755463673951,0.003661377731836976,0.004487135262847017,0.0008724985233313644,0.00020254430005906676,0.004113207324276433,0.0020254430005906677,0.0009192395156526876,0.008756145894861194,0.00042066893089190785,0.0,0.0,0.0004985705847607797,0.0005608919078558772,0.0009192395156526876,0.0006543738924985234,0.0,0.019428672474896637,0.023526299468399292,0.009550742764323687,0.0002804459539279386,0.0007011148848198465,0.0,0.0011217838157117543,0.002337049616066155,0.006232132309509746
