,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
01:15:00,250,14,87,366,0,245,294,85,40,310,113,31,458,0,0,95,4,43,30,43,0,1313,1504,37,17,47,125,70,154,413
01:16:15,502,31,86,366,0,244,293,84,40,310,134,31,457,0,0,94,0,0,30,5,0,1318,1502,37,17,47,125,77,153,413
01:16:30,501,31,82,366,0,245,293,83,40,310,133,28,457,0,0,97,0,0,30,5,0,1319,1504,37,17,47,125,77,155,413
01:16:45,486,7,83,365,0,244,293,83,40,310,133,24,456,0,0,95,0,0,30,9,0,1317,1503,37,18,47,125,77,155,413
01:17:00,503,0,85,365,0,244,293,83,40,310,131,24,456,0,0,94,0,0,30,6,0,1317,1504,37,19,47,125,76,153,413
01:17:15,252,0,85,364,0,245,292,84,40,310,131,27,455,0,0,95,0,0,30,7,0,1309,1503,37,19,47,125,74,153,413
01:17:30,252,0,86,365,0,245,293,85,40,310,133,24,454,0,0,96,0,0,30,42,0,1310,1504,37,19,47,125,77,154,413
01:17:45,252,0,0,364,0,245,293,82,40,308,133,31,455,0,0,97,0,0,30,43,0,1318,1505,37,19,47,125,76,154,414
01:18:00,252,0,0,364,0,244,293,83,40,309,131,23,455,0,0,95,0,0,30,42,0,1318,1504,37,22,47,125,78,154,413
01:18:15,252,0,0,363,0,244,292,83,40,309,133,31,455,0,0,94,0,0,30,42,0,1319,1504,37,22,47,125,77,154,413
01:18:30,252,0,0,365,0,243,293,82,40,309,134,30,455,0,0,96,0,0,30,42,0,1318,1505,37,22,47,125,71,154,413
01:18:45,252,0,89,363,0,243,293,83,40,308,133,24,455,0,0,94,0,0,30,43,0,1317,1505,37,22,46,125,73,154,413
01:19:00,252,0,88,365,0,244,292,84,40,308,133,31,455,0,0,95,0,0,30,43,0,1318,1505,37,22,46,125,71,154,413
01:19:15,251,0,86,366,0,244,292,83,40,308,133,31,455,0,0,93,0,0,30,42,0,1317,1507,37,21,46,125,75,154,413
01:19:30,251,0,84,299,0,243,292,84,40,310,132,31,455,0,0,93,0,0,30,43,0,1318,1507,37,21,46,125,75,153,413
