,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero
hashrate,486.0,18.0,73.0,348.0,0.0,234.0,0.0,287.0,17.0,0.0,39.0,253.0,130.0,47.0,565.0,55.0,0.0,35.0,62.0,87.0,0.0,0.0,22.0,34.0,60.0,24.0,0.0,1138.0,1477.0,536.0,18.0,0.0,101.0,72.0,151.0
hashrate,0.007189656146961846,0.0002662835609985869,0.0010799277751609357,0.00514814884597268,0.0,0.00346168629298163,0.0,0.0042457434448108025,0.00025149002983199873,0.0,0.0005769477154969384,0.0037427633851468047,0.001923159051656461,0.0006952959648296436,0.008358345109122312,0.0008136442141623489,0.0,0.0005177735908305856,0.000917198932328466,0.00128703721149317,0.0,0.0,0.0003254576856649395,0.0005029800596639975,0.0008876118699952897,0.00035504474799811586,0.0,0.016835038467577328,0.021850045533050713,0.007929332705291255,0.0002662835609985869,0.0,0.0014941466478254042,0.0010651342439943476,0.002233823206154812
