,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
02:03:15,575,0,87,255,0,238,320,0,40,305,0,0,465,0,0,186,61,62,78,38,0,565,1330,97,0,46,0,83,148,293,44,43,452,28,25,0
02:03:30,557,0,89,256,0,238,320,0,40,304,0,0,465,0,0,186,61,61,78,38,0,565,1330,97,0,46,0,83,148,438,43,43,452,27,25,0
02:03:45,468,0,87,255,0,238,319,0,40,305,0,0,465,0,0,186,61,62,78,38,0,566,1329,97,0,46,0,83,148,438,44,43,452,27,24,0
02:04:00,467,0,89,255,0,238,320,0,41,306,0,0,466,0,0,186,61,62,77,38,0,1124,1332,97,0,46,0,83,147,437,43,43,452,27,24,0
02:04:15,469,0,89,256,0,238,320,0,41,305,0,0,466,0,0,187,62,61,78,38,0,1125,1337,97,0,46,0,83,148,437,43,43,451,28,25,0
02:04:30,469,0,88,254,0,237,320,0,41,306,0,0,466,0,0,188,61,61,77,39,0,1124,1342,97,0,46,0,84,146,438,43,43,451,28,25,0
02:04:45,470,0,87,255,0,238,320,0,41,305,0,0,465,0,88,186,61,61,77,38,0,1124,1337,97,0,46,0,84,149,437,43,43,451,27,25,0
02:05:00,470,0,87,253,0,238,320,0,41,305,0,0,465,0,87,186,61,62,78,38,0,1123,1329,97,0,46,0,83,149,438,43,43,451,27,25,0
02:05:15,471,0,90,254,0,238,320,0,41,306,0,0,464,0,88,185,61,62,77,38,0,1122,1338,97,0,46,0,84,148,438,42,43,451,27,25,0
02:05:30,471,0,87,254,0,238,320,0,41,306,0,0,464,0,89,186,60,62,77,38,0,1123,1330,97,0,46,0,85,146,438,43,43,451,27,25,0
02:05:45,472,0,88,253,0,238,320,0,41,305,0,0,464,0,88,185,61,62,77,38,0,1124,1339,97,0,46,0,84,149,438,44,43,451,27,25,0
02:06:00,472,0,88,254,0,237,320,0,41,305,0,0,464,0,88,185,61,62,77,38,0,1124,1348,97,0,46,0,83,148,439,43,43,452,27,25,0
02:06:15,474,0,87,254,0,237,319,0,41,305,0,0,464,0,88,187,62,61,77,38,0,1125,1338,97,0,47,0,84,146,438,43,43,452,27,25,0
02:06:30,473,0,87,255,0,238,319,0,41,305,0,0,465,0,87,188,60,62,46,38,0,1124,1340,97,0,47,0,83,147,438,42,43,451,27,25,0
02:06:45,474,0,90,253,0,237,319,0,41,305,0,0,464,0,87,188,61,62,78,38,0,1124,1345,97,0,47,0,84,148,438,43,43,451,27,25,0
02:07:00,474,0,88,253,0,237,319,0,41,305,0,0,464,0,88,189,61,62,77,38,0,1124,1342,97,0,47,0,84,145,438,43,43,451,28,24,0
02:07:15,474,0,88,253,0,238,319,0,41,305,0,0,464,0,89,188,59,62,77,39,0,1123,1235,98,0,47,0,85,149,438,44,43,451,28,25,0
02:07:30,475,0,90,254,0,238,320,0,41,304,0,0,461,0,90,188,59,62,77,38,0,1123,1331,98,0,47,0,83,146,438,43,43,451,28,25,0
02:07:45,475,0,87,252,0,237,320,0,41,303,0,0,463,0,89,185,60,62,77,38,0,1123,1236,97,0,46,0,84,147,437,43,43,451,28,25,0
02:08:00,474,0,89,253,0,238,320,0,41,253,0,0,463,0,87,187,60,62,77,38,0,1124,1336,97,0,46,0,84,148,437,44,43,451,28,25,0
