,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,481.0,23.0,63.0,350.0,57.0,239.0,0.0,290.0,16.0,0.0,40.0,255.0,131.0,48.0,556.0,0.0,0.0,0.0,0.0,89.0,40.0,0.0,16.0,25.0,61.0,7.0,0.0,1131.0,1559.0,575.0,20.0,45.0,122.0,72.0,150.0,355.0
hashrate,0.006867799295774648,0.00032839788732394367,0.0008995246478873239,0.004997359154929578,0.0008138556338028168,0.0034124823943661974,0.0,0.0041406690140845075,0.00022845070422535213,0.0,0.0005711267605633803,0.0036409330985915493,0.0018704401408450705,0.0006853521126760564,0.007938661971830987,0.0,0.0,0.0,0.0,0.0012707570422535212,0.0005711267605633803,0.0,0.00022845070422535213,0.0003569542253521127,0.000870968309859155,9.994718309859156e-05,0.0,0.016148609154929577,0.02225966549295775,0.008209947183098592,0.00028556338028169016,0.0006425176056338029,0.00174193661971831,0.0010280281690140845,0.002141725352112676,0.00506875
