,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,437.0,27.0,62.0,348.0,53.0,226.0,0.0,302.0,0.0,0.0,39.0,251.0,126.0,47.0,550.0,0.0,0.0,0.0,0.0,86.0,40.0,0.0,40.0,36.0,72.0,39.0,0.0,1201.0,1518.0,594.0,20.0,44.0,13.0,69.0,144.0,354.0
hashrate,0.006809884238646482,0.00042074799643811216,0.0009661620658949244,0.005422974176313446,0.0008259127337488868,0.003521816562778272,0.0,0.004706144256455921,0.0,0.0,0.0006077471059661621,0.00391139804096171,0.0019634906500445234,0.000732413178984862,0.008570792520035618,0.0,0.0,0.0,0.0,0.0013401602849510241,0.0006233303650934996,0.0,0.0006233303650934996,0.0005609973285841496,0.0011219946571682992,0.0006077471059661621,0.0,0.018715494211932325,0.023655387355298308,0.009256455921638467,0.0003116651825467498,0.0006856634016028495,0.00020258236865538734,0.0010752448797862865,0.0022439893143365985,0.005516473731077471
