,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
./data\2022-04-03.csv-average,525.0,0.0,68.0,255.0,0.0,238.0,325.0,0.0,41.0,302.0,0.0,0.0,468.0,0.0,0.0,180.0,32.0,62.0,70.0,37.0,0.0,1113.0,1305.0,74.0,0.0,31.0,0.0,80.0,146.0,438.0,28.0,43.0,445.0,15.0,42.0,0.0
./data\2022-04-04.csv-average,407.0,0.0,67.0,237.0,0.0,236.0,324.0,0.0,41.0,281.0,0.0,0.0,466.0,0.0,0.0,132.0,35.0,50.0,61.0,38.0,0.0,1109.0,1210.0,87.0,0.0,35.0,0.0,61.0,145.0,434.0,20.0,43.0,456.0,19.0,44.0,0.0
./data\2022-04-05.csv-average,442.0,0.0,76.0,249.0,2.0,240.0,327.0,0.0,41.0,295.0,0.0,0.0,468.0,0.0,0.0,127.0,23.0,39.0,71.0,38.0,0.0,1124.0,1157.0,90.0,0.0,38.0,0.0,74.0,150.0,433.0,18.0,44.0,452.0,17.0,44.0,0.0
./data\2022-04-06.csv-average,373.0,0.0,72.0,244.0,0.0,241.0,321.0,0.0,41.0,292.0,0.0,0.0,464.0,0.0,0.0,163.0,48.0,3.0,60.0,35.0,0.0,1129.0,1335.0,97.0,0.0,45.0,0.0,82.0,148.0,438.0,0.0,43.0,454.0,16.0,44.0,0.0
./data\2022-04-07.csv-average,445.0,0.0,69.0,248.0,0.0,232.0,321.0,0.0,41.0,298.0,0.0,0.0,478.0,0.0,2.0,171.0,54.0,43.0,70.0,33.0,0.0,1129.0,1337.0,80.0,0.0,43.0,0.0,82.0,150.0,437.0,30.0,44.0,456.0,13.0,44.0,0.0
