,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
02:15:00,582.0,0.0,0.0,255.0,0.0,238.0,321.0,0.0,41.0,303.0,0.0,0.0,466.0,0.0,0.0,185.0,61.0,62.0,76.0,0.0,0.0,1062.0,1335.0,0.0,0.0,47.0,0.0,42.0,144.0,437.0,42.0,43.0,455.0,28.0,0.0,0.0
02:15:15,582.0,0.0,0.0,254.0,0.0,238.0,321.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,59.0,62.0,77.0,0.0,0.0,1099.0,1335.0,0.0,0.0,47.0,0.0,82.0,145.0,437.0,43.0,43.0,455.0,28.0,0.0,0.0
02:15:30,583.0,0.0,0.0,254.0,0.0,238.0,321.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,61.0,61.0,77.0,38.0,0.0,1096.0,1330.0,0.0,0.0,47.0,0.0,79.0,142.0,437.0,43.0,43.0,455.0,29.0,44.0,0.0
02:15:45,582.0,0.0,0.0,250.0,0.0,238.0,320.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,186.0,61.0,61.0,77.0,38.0,0.0,1078.0,1348.0,0.0,0.0,47.0,0.0,79.0,145.0,437.0,43.0,43.0,456.0,0.0,44.0,0.0
02:16:00,582.0,0.0,0.0,256.0,0.0,237.0,320.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,185.0,61.0,61.0,77.0,38.0,0.0,1067.0,1341.0,0.0,0.0,47.0,0.0,81.0,144.0,437.0,43.0,43.0,456.0,0.0,0.0,0.0
02:16:15,582.0,0.0,0.0,255.0,0.0,238.0,322.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,62.0,61.0,77.0,38.0,0.0,1071.0,1342.0,0.0,0.0,47.0,0.0,87.0,145.0,437.0,42.0,43.0,456.0,0.0,44.0,0.0
02:16:30,583.0,0.0,0.0,257.0,0.0,238.0,322.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,188.0,12.0,61.0,77.0,38.0,0.0,1126.0,1339.0,0.0,0.0,47.0,0.0,83.0,142.0,438.0,42.0,43.0,456.0,0.0,44.0,0.0
02:16:45,579.0,0.0,0.0,256.0,0.0,238.0,322.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,7.0,62.0,77.0,39.0,0.0,1127.0,1340.0,0.0,0.0,47.0,0.0,83.0,142.0,438.0,43.0,43.0,456.0,0.0,44.0,0.0
02:17:00,579.0,0.0,0.0,257.0,0.0,238.0,322.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,42.0,62.0,77.0,38.0,0.0,1127.0,1332.0,0.0,0.0,48.0,0.0,88.0,144.0,437.0,43.0,43.0,456.0,0.0,43.0,0.0
02:17:15,584.0,0.0,86.0,257.0,0.0,237.0,322.0,0.0,41.0,303.0,0.0,0.0,467.0,0.0,0.0,187.0,41.0,62.0,77.0,38.0,0.0,1127.0,1340.0,85.0,0.0,48.0,0.0,88.0,144.0,438.0,43.0,43.0,456.0,0.0,44.0,0.0
