,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,248.0,15.0,62.0,353.0,0.0,236.0,286.0,46.0,40.0,285.0,127.0,54.0,564.0,0.0,0.0,0.0,42.0,34.0,53.0,28.0,0.0,1296.0,1514.0,608.0,18.0,37.0,122.0,67.0,148.0,417.0
hashrate,0.0035945194029850746,0.00021741044776119406,0.0008986298507462686,0.005116392537313433,0.0,0.003420591044776119,0.0041452925373134325,0.0006667253731343284,0.0005797611940298508,0.004130798507462687,0.0018407417910447762,0.0007826776119402985,0.008174632835820896,0.0,0.0,0.0,0.0006087492537313432,0.0004927970149253731,0.0007681835820895523,0.0004058328358208955,0.0,0.018784262686567164,0.021943961194029853,0.008812370149253733,0.0002608925373134328,0.000536279104477612,0.0017682716417910449,0.0009711,0.002145116417910448,0.006044010447761194
