,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
26:15:00,500,19,88,303,0,234,294,0,41,307,133,31,477,0,0,93,0,0,78,0,0,1297,1476,629,21,44,0,73,160,385
26:15:15,505,17,83,304,0,234,294,0,40,306,133,31,475,0,0,92,0,0,72,0,0,1294,1476,629,21,45,0,78,159,386
26:15:30,250,11,89,304,0,234,294,0,40,307,134,31,0,0,0,92,0,0,73,0,0,1296,1477,629,21,45,0,71,157,427
26:15:45,250,11,86,372,0,234,294,0,40,307,134,30,0,0,0,91,0,0,72,35,0,1298,1476,629,21,45,0,72,158,437
26:16:00,250,11,88,371,0,234,296,0,40,307,132,31,0,0,0,92,0,0,73,38,0,1297,1477,629,21,45,118,72,158,436
26:16:15,250,11,88,373,0,234,296,0,40,306,134,30,0,0,0,92,0,0,72,42,0,1298,1478,629,21,45,0,77,157,435
26:16:30,250,13,90,371,0,235,296,0,40,307,133,30,0,0,0,92,0,0,74,0,0,1298,1477,629,21,45,0,70,157,436
26:16:45,250,8,90,371,0,234,296,0,40,307,132,30,0,0,0,92,0,0,67,0,0,1297,1477,629,21,45,0,70,154,436
26:17:00,250,11,85,372,0,235,297,0,40,307,133,24,0,0,0,94,0,0,67,0,0,1298,1476,629,21,45,0,77,156,437
26:17:15,250,11,82,371,0,235,297,0,40,307,129,30,0,0,0,93,12,0,67,0,0,1298,1475,628,21,45,0,78,156,436
26:17:30,250,13,90,368,0,234,297,0,40,307,132,30,450,0,0,93,6,0,68,0,0,1307,1475,628,21,45,0,73,156,437
26:17:45,250,17,84,369,0,234,298,0,40,306,133,31,455,0,0,93,24,0,67,0,0,1308,1476,628,21,45,0,76,156,438
26:18:00,250,11,86,369,0,234,298,0,40,306,134,31,452,0,0,92,31,0,79,0,0,1307,1475,629,21,45,0,73,155,436
26:18:15,250,30,54,365,0,234,297,0,40,305,133,24,450,0,0,93,29,42,79,0,0,1309,1477,629,21,45,0,74,154,437
26:18:30,250,32,86,364,0,234,297,0,41,307,134,30,450,0,0,92,21,41,80,0,0,1308,1476,629,21,45,0,74,153,437
26:18:45,250,31,61,298,0,234,297,0,41,307,135,30,453,0,0,92,0,42,80,0,0,1309,1477,629,21,45,0,74,153,437
26:19:00,250,31,88,298,0,234,296,0,41,307,132,31,453,0,0,93,0,42,80,0,0,1309,1478,629,21,45,0,69,153,437
26:19:15,250,31,89,299,0,234,297,0,41,307,134,31,454,0,0,91,57,41,80,0,0,1310,1482,629,21,45,0,73,154,437
26:19:30,250,0,87,299,0,234,296,0,41,307,134,30,452,0,0,91,63,41,73,0,0,1308,1479,629,21,45,0,73,154,438
26:19:45,250,0,71,298,0,234,297,0,41,307,132,30,453,0,0,91,63,0,80,0,0,1308,1480,627,20,45,0,72,154,436
26:20:00,250,0,80,295,0,234,297,0,41,307,135,31,453,0,0,91,57,0,68,0,0,1307,1480,627,20,36,0,73,154,436
26:20:15,250,0,89,295,0,233,298,0,41,307,132,31,452,0,0,91,63,0,70,0,0,1308,1480,627,21,36,0,73,152,436
26:20:30,250,0,83,363,0,233,297,0,41,307,133,30,451,0,0,90,56,0,73,0,0,1306,1482,627,21,42,0,72,152,436
26:20:45,250,0,87,360,0,233,298,0,41,307,130,31,450,0,0,92,50,0,74,0,0,1304,1481,628,21,37,0,72,154,436
26:21:00,250,0,87,360,0,233,296,0,41,307,130,31,449,0,0,91,55,0,69,0,0,1309,1480,628,21,36,0,70,155,436
26:21:15,250,0,87,362,0,234,299,0,41,307,131,30,450,0,0,92,50,0,68,0,0,1307,1483,627,21,45,0,71,155,436
26:21:30,250,0,89,360,0,234,298,0,41,307,130,24,448,0,0,92,54,0,68,0,0,1306,1481,628,6,45,0,76,152,436
26:21:45,250,0,88,360,0,234,298,0,41,307,124,31,449,0,0,91,56,0,69,0,0,1307,1480,628,7,36,0,76,153,437
26:22:00,250,0,92,361,0,234,297,0,41,307,131,30,449,0,0,91,50,0,68,0,0,1302,1481,629,8,36,0,74,153,437
26:22:15,502,0,86,362,0,233,298,0,41,307,131,30,447,0,0,90,53,0,69,0,0,1299,1482,629,8,37,0,76,151,437
26:22:30,498,0,85,360,0,233,296,0,41,307,132,24,447,0,0,92,35,0,69,41,0,1301,1481,628,7,45,0,76,152,437
26:22:45,500,0,86,360,0,233,297,0,41,308,126,31,450,0,0,92,10,0,69,44,0,1300,1481,628,0,37,0,74,152,437
26:23:00,499,0,87,359,0,233,297,0,41,306,124,31,450,0,0,91,8,0,69,38,0,1301,1484,630,0,36,0,74,152,437
26:23:15,503,0,88,359,0,233,297,0,41,307,131,30,448,0,0,92,5,45,68,37,0,1301,1481,629,0,37,0,69,151,436
26:23:30,508,0,0,358,0,233,297,0,41,307,132,31,447,0,0,91,12,43,0,38,0,1306,1481,624,0,45,0,70,153,436
26:23:45,505,0,0,360,0,234,296,0,41,307,131,24,446,0,0,90,5,44,0,43,0,1303,1480,624,0,45,0,69,153,435
27:00:00,506,0,0,359,0,234,296,0,41,307,132,24,447,0,0,93,6,44,0,43,0,1303,1481,621,0,35,0,70,152,436
27:00:15,503,0,91,361,0,234,296,0,41,307,131,30,447,0,0,93,55,44,50,43,0,1302,1483,621,0,45,0,70,152,435
27:00:30,505,0,89,360,0,234,298,0,41,307,133,24,444,0,0,93,61,0,49,9,0,1300,1482,618,0,45,0,76,153,437
27:00:45,504,0,89,360,0,235,298,0,41,301,133,30,447,0,0,92,63,0,49,43,0,1197,1482,616,0,46,0,76,153,437
27:01:00,504,0,89,359,0,235,295,0,41,253,132,31,447,0,0,92,61,0,49,44,0,1198,1483,616,0,46,0,77,153,437
27:01:15,504,0,91,352,0,235,296,0,41,217,134,31,447,0,0,92,61,44,50,45,0,1198,1482,615,0,46,0,77,154,437
27:01:30,504,0,90,359,0,235,295,0,41,219,134,31,448,0,0,91,60,44,49,44,0,1199,1482,615,0,46,0,77,154,433
27:01:45,510,0,91,360,0,235,296,0,41,237,133,24,448,0,0,91,62,45,49,45,0,1200,1482,614,0,46,0,77,151,431
27:02:00,510,0,92,360,0,235,296,0,41,304,132,31,449,0,0,93,61,44,50,44,0,1199,1485,614,0,46,0,77,151,435
