,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
08:12:30,56.0,0.0,6.0,258.0,0.0,232.0,321.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,182.0,0.0,64.0,77.0,37.0,0.0,1096.0,1231.0,99.0,0.0,43.0,0.0,78.0,154.0,438.0,43.0,45.0,457.0,29.0,44.0,0.0
08:12:45,279.0,0.0,83.0,258.0,0.0,232.0,321.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,178.0,0.0,64.0,77.0,37.0,0.0,1092.0,831.0,99.0,0.0,42.0,0.0,86.0,153.0,409.0,42.0,45.0,457.0,27.0,44.0,0.0
08:13:00,286.0,0.0,83.0,258.0,0.0,232.0,322.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,179.0,0.0,64.0,77.0,39.0,0.0,1092.0,1225.0,99.0,0.0,42.0,0.0,85.0,152.0,438.0,43.0,45.0,456.0,27.0,44.0,0.0
08:13:15,311.0,0.0,90.0,257.0,0.0,232.0,322.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,178.0,47.0,64.0,76.0,38.0,0.0,1093.0,1227.0,98.0,0.0,42.0,0.0,85.0,151.0,438.0,43.0,45.0,456.0,27.0,44.0,0.0
08:13:30,272.0,0.0,82.0,259.0,0.0,232.0,322.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,180.0,47.0,64.0,69.0,37.0,0.0,1094.0,1228.0,99.0,0.0,41.0,0.0,85.0,154.0,427.0,42.0,45.0,456.0,28.0,44.0,0.0
08:13:45,520.0,0.0,83.0,260.0,0.0,232.0,324.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,182.0,47.0,64.0,69.0,37.0,0.0,1096.0,1326.0,99.0,0.0,42.0,0.0,85.0,152.0,438.0,43.0,45.0,260.0,27.0,44.0,0.0
08:14:00,545.0,0.0,89.0,258.0,0.0,232.0,323.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,178.0,46.0,64.0,73.0,37.0,0.0,1095.0,1330.0,99.0,0.0,42.0,0.0,86.0,154.0,401.0,42.0,45.0,457.0,26.0,44.0,0.0
08:14:15,527.0,0.0,87.0,257.0,0.0,232.0,323.0,0.0,41.0,251.0,0.0,0.0,472.0,0.0,0.0,178.0,48.0,64.0,74.0,37.0,0.0,1096.0,840.0,99.0,0.0,41.0,0.0,85.0,153.0,438.0,41.0,45.0,457.0,29.0,43.0,0.0
08:14:30,569.0,0.0,90.0,259.0,0.0,232.0,324.0,0.0,41.0,252.0,0.0,0.0,473.0,0.0,0.0,181.0,48.0,64.0,74.0,36.0,0.0,1093.0,1229.0,99.0,0.0,42.0,0.0,85.0,152.0,438.0,42.0,45.0,457.0,29.0,43.0,0.0
08:14:45,535.0,0.0,89.0,257.0,0.0,232.0,324.0,0.0,41.0,252.0,0.0,0.0,472.0,0.0,0.0,178.0,49.0,64.0,74.0,35.0,0.0,1096.0,1317.0,99.0,0.0,42.0,0.0,85.0,153.0,432.0,41.0,45.0,457.0,29.0,43.0,0.0
