,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
hashrate,377.0,26.0,72.0,334.0,69.0,233.0,0.0,268.0,0.0,0.0,37.0,261.0,130.0,46.0,545.0,0.0,0.0,0.0,0.0,76.0,84.0,0.0,22.0,40.0,73.0,42.0,0.0,1208.0,1516.0,544.0,16.0,19.0,105.0,72.0,148.0,350.0
hashrate,0.00034930372560703114,2.4089912110829735e-05,6.671052584537465e-05,0.0003094627171160435,6.393092060181737e-05,0.00021588267391628186,0.0,0.00024831140175778343,0.0,0.0,3.428179800387308e-05,0.00024182565618948308,0.00012044956055414867,4.262061373454491e-05,0.0005049616192462387,0.0,0.0,0.0,0.0,7.041666617011768e-05,7.782894681960376e-05,0.0,2.0383771786086698e-05,3.706140324743036e-05,6.76370609265604e-05,3.891447340980188e-05,0.0,0.0011192543780723968,0.0014046271830776107,0.0005040350841650529,1.4824561298972144e-05,1.760416654252942e-05,9.72861835245047e-05,6.671052584537465e-05,0.0001371271920154923,0.00032428727841501563
