,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
17:00:00,252,16,0,367,65,238,294,0,0,310,132,21,581,36,0,0,59,44,0,43,0,1312,1555,617,0,47,0,0,154,434
17:00:15,252,16,0,364,0,238,294,0,0,310,132,27,580,37,0,0,59,45,26,44,0,1330,1555,617,0,37,0,30,154,433
17:00:30,251,15,0,332,0,238,294,0,0,310,132,21,581,36,0,0,59,46,41,24,0,1330,1558,617,0,44,0,45,154,433
17:00:45,251,18,0,330,0,238,294,0,0,310,131,21,581,36,0,0,59,45,37,41,0,1327,1556,618,0,43,0,45,154,425
17:01:00,251,14,0,329,0,238,295,0,0,310,131,27,581,36,0,0,59,45,42,0,0,1330,1557,618,0,39,0,44,153,434
17:01:15,251,18,0,364,0,238,294,0,0,311,132,26,581,36,0,0,61,45,43,43,0,1255,1553,618,0,45,0,45,154,431
17:01:30,251,29,91,365,0,237,296,0,0,310,133,26,567,36,0,0,60,45,40,43,0,1222,1539,617,0,47,0,46,154,411
17:01:45,251,30,92,362,0,238,294,0,0,310,131,27,581,35,0,0,58,44,46,43,0,1324,1555,617,0,46,0,45,155,411
17:02:00,251,30,93,361,0,238,294,0,0,310,131,21,581,35,0,0,58,45,47,43,0,1325,1554,618,0,48,0,46,155,411
17:02:15,251,30,92,361,0,237,294,0,0,309,132,21,581,35,0,0,58,44,48,44,0,1327,1553,618,0,47,0,45,154,411
17:02:30,251,30,93,331,0,237,294,0,0,309,131,21,582,35,0,0,59,45,48,43,0,1325,1550,618,0,47,0,45,155,411
17:02:45,251,30,92,333,0,237,294,0,0,309,132,21,581,35,0,0,61,45,48,43,0,1325,1550,619,0,47,0,45,155,411
17:03:00,251,31,92,365,0,237,294,0,0,309,132,21,580,35,0,0,60,45,47,44,0,1325,1552,618,0,47,0,45,154,411
17:03:15,251,31,94,363,0,237,294,0,0,310,131,27,580,35,0,0,60,45,47,43,0,1324,1551,619,0,47,0,46,155,411
17:03:30,251,30,92,360,0,237,294,0,0,311,132,27,580,35,0,0,59,45,46,44,0,1325,1553,618,0,47,0,45,155,411
17:03:45,251,30,92,361,0,237,293,0,0,310,132,27,580,35,0,0,60,44,46,44,0,1325,1553,619,0,47,0,45,155,411
17:04:00,251,30,93,362,0,236,294,0,0,311,132,26,581,35,0,0,60,44,47,43,0,1325,1552,618,0,47,0,46,156,411
17:04:15,251,30,94,362,0,236,294,0,0,311,132,21,581,35,0,0,60,44,46,43,0,1325,1552,619,0,47,0,45,153,411
17:04:30,251,30,92,361,0,236,294,0,0,312,130,26,581,35,0,0,59,44,46,43,0,1325,1554,618,0,47,0,45,154,411
17:04:45,251,30,92,364,0,236,294,0,0,310,132,26,580,36,0,0,59,43,47,44,0,1324,1553,619,0,47,0,44,155,72
17:05:00,251,30,92,365,0,235,294,0,0,312,130,26,580,36,0,0,59,44,46,44,0,1324,1554,619,0,47,0,45,155,72
17:05:15,508,30,92,364,0,235,294,0,0,312,132,26,580,35,0,0,58,44,46,43,0,1325,1554,619,0,47,0,45,154,72
17:05:30,509,30,93,332,0,236,294,0,0,310,132,21,581,35,0,0,60,44,47,44,0,1325,1553,618,0,47,0,44,156,72
17:05:45,510,30,93,329,0,236,294,0,0,311,132,21,581,35,0,0,58,43,46,44,0,1326,1554,618,0,47,0,45,157,72
17:06:00,510,30,92,362,0,236,293,0,0,311,132,26,581,35,0,0,60,44,46,43,0,1326,1555,619,0,47,0,45,155,72
17:06:15,509,30,93,362,0,235,293,0,0,310,132,26,581,35,0,0,59,44,47,43,0,1327,1556,620,0,47,0,45,156,72
17:06:30,510,30,92,327,0,235,293,0,0,311,133,27,580,35,0,0,60,44,47,43,0,1327,1556,620,0,47,0,46,153,72
17:06:45,511,30,92,360,0,236,293,0,0,311,133,21,580,35,0,0,60,45,46,43,0,1327,1558,620,0,47,0,46,153,72
17:07:00,511,29,92,363,0,236,293,0,0,310,132,26,580,35,0,0,60,44,46,44,0,1327,1554,620,0,47,0,44,155,72
17:07:15,511,30,94,365,0,236,294,0,0,310,131,26,581,35,0,0,60,43,47,44,0,1328,1556,620,0,47,0,45,154,72
17:07:30,511,30,92,323,0,236,294,0,0,310,132,27,581,35,0,0,59,44,46,44,0,1327,1555,620,0,47,0,44,156,72
