,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero
hashrate,500.0,17.0,80.0,362.0,62.0,237.0,88.0,289.0,17.0,166.0,38.0,275.0,127.0,54.0,495.0,37.0,0.0,39.0,64.0,85.0,134.0,37.0,51.0,36.0,68.0,36.0,210.0,1062.0,1314.0,582.0,24.0,46.0,42.0,73.0,149.0
hashrate,0.007786397911832946,0.00026473752900232016,0.0012458236658932714,0.0056373520881670535,0.0009655133410672853,0.0036907526102088165,0.0013704060324825984,0.004500537993039443,0.00026473752900232016,0.0025850841067285384,0.000591766241299304,0.00428251885150812,0.001977745069605568,0.0008409309744779582,0.007708533932714617,0.0005761934454756381,0.0,0.0006073390371229698,0.0009966589327146172,0.001323687645011601,0.0020867546403712297,0.0005761934454756381,0.0007942125870069605,0.0005606206496519721,0.0010589501160092806,0.0005606206496519721,0.0032702871229698376,0.01653830916473318,0.020462653712296983,0.00906336716937355,0.00037374709976798143,0.000716348607888631,0.0006540574245939675,0.0011368140951276103,0.002320346577726218
