,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
28:15:00,503,34,87,359,0,242,295,0,40,308,134,29,447,0,0,93,59,0,77,43,0,1295,1469,618,21,47,124,77,155,436
28:15:15,505,34,89,359,0,242,295,0,40,308,134,29,447,0,0,92,60,0,77,42,0,1294,1469,618,21,47,128,78,154,436
28:15:30,499,14,91,357,0,242,293,0,40,308,134,30,448,0,0,92,59,0,78,42,0,1295,1469,619,21,47,128,78,154,436
28:15:45,499,14,90,358,0,242,293,0,40,308,135,29,448,0,0,92,60,0,79,43,0,1221,1470,619,21,47,128,78,154,436
28:16:00,499,16,91,357,0,242,293,0,40,308,135,29,448,0,0,92,59,0,77,43,0,1293,1468,619,21,47,129,77,154,436
28:16:15,500,19,91,357,0,242,292,0,40,308,134,29,448,0,0,93,59,0,80,41,0,1294,1468,619,21,47,129,76,155,435
28:16:30,500,20,89,357,0,241,294,0,41,308,135,30,449,0,0,92,60,0,80,41,0,1289,1467,619,21,47,126,76,153,435
28:16:45,499,10,91,357,0,241,294,0,41,308,133,23,448,0,0,94,55,0,77,42,0,1293,1468,618,21,47,128,76,153,435
28:17:00,500,19,89,359,0,241,293,0,41,308,133,29,448,0,0,92,54,0,76,42,0,1294,1468,618,21,47,128,75,154,436
28:17:15,500,17,86,357,0,241,293,0,41,308,133,23,449,0,0,94,55,0,77,42,0,1296,1468,618,21,47,128,77,154,435
28:17:30,500,15,86,356,0,241,293,0,41,308,133,23,449,0,0,91,0,0,74,38,0,1293,1469,617,21,47,124,59,154,436
28:17:45,500,16,88,357,0,241,293,0,41,307,134,23,448,0,0,94,0,0,75,37,0,1284,1467,617,21,47,127,78,155,435
28:18:00,500,20,88,356,0,241,293,0,41,308,135,23,449,0,0,92,0,0,78,37,0,1290,1468,615,21,47,119,76,152,435
28:18:15,499,17,88,357,0,241,292,81,41,308,134,29,448,0,0,92,0,0,79,38,0,1289,1466,615,21,47,127,76,155,435
28:18:30,250,20,90,358,0,241,292,78,41,256,133,23,448,0,0,92,0,0,78,43,0,1290,1465,615,21,47,124,73,154,436
28:18:45,250,23,90,358,0,241,293,81,41,226,132,23,448,0,0,93,0,0,77,42,0,1290,1467,613,21,47,127,69,154,437
28:19:00,250,18,84,358,0,241,293,80,41,300,133,29,448,0,0,0,0,0,73,42,0,1292,1464,613,21,47,126,70,152,437
28:19:15,250,23,89,356,0,241,294,82,41,291,133,28,448,0,0,0,0,0,71,42,0,1291,1463,613,21,41,127,71,154,436
28:19:30,250,18,90,356,0,241,294,82,41,285,134,23,448,0,0,0,0,0,76,43,0,1291,1465,614,21,35,127,71,153,437
28:19:45,250,14,91,356,0,241,294,82,41,304,134,23,448,0,0,0,0,0,76,42,0,1291,1465,613,21,32,127,72,153,437
28:20:00,250,14,91,357,0,241,295,80,41,307,135,29,448,0,0,0,0,0,77,43,0,1294,1464,612,21,47,127,76,152,437
28:20:15,250,16,87,357,66,241,294,80,41,307,133,29,448,0,0,0,0,0,75,43,0,1291,1463,612,22,47,127,77,153,437
28:20:30,250,16,89,358,66,241,293,81,40,307,134,23,447,0,0,0,0,0,75,43,0,1293,1464,613,22,47,126,77,153,437
28:20:45,250,16,88,356,68,240,296,79,40,307,133,28,447,0,0,0,0,0,74,8,0,1292,1463,614,22,47,126,72,154,436
28:21:00,250,16,87,356,66,240,296,0,40,307,133,28,447,0,0,42,0,0,76,0,0,1295,1464,613,21,47,126,70,152,436
28:21:15,250,35,89,358,66,240,294,0,40,307,134,23,448,0,0,95,0,0,76,0,0,1295,1466,613,20,36,126,70,154,436
28:21:30,250,35,88,356,66,240,295,0,40,307,133,23,448,0,0,93,0,0,75,0,0,1292,1465,613,20,47,126,77,153,437
28:21:45,250,33,89,357,68,240,295,0,40,306,131,30,448,0,0,92,0,46,75,0,0,1291,1466,614,0,47,126,70,154,436
28:22:00,250,28,86,356,68,240,293,0,41,306,130,23,448,0,0,91,0,45,76,0,0,1292,1464,614,0,47,126,70,152,436
28:22:15,250,20,82,358,66,240,295,0,41,306,131,30,448,0,0,92,0,43,76,0,0,1292,1465,614,0,47,0,70,154,436
28:22:30,250,26,88,356,66,240,293,0,41,306,130,29,449,0,0,91,0,43,75,0,0,1294,1463,612,0,47,0,69,154,438
28:22:45,250,20,88,356,68,240,293,0,41,305,131,29,449,0,0,92,0,44,77,0,0,1295,1464,613,0,47,0,69,153,438
28:23:00,250,20,87,355,66,240,294,0,41,305,130,30,448,0,0,92,35,42,76,0,0,1294,1464,613,0,47,0,70,153,438
28:23:15,250,19,87,358,65,240,293,0,41,305,131,29,448,0,0,92,50,43,75,0,0,1296,1462,614,0,47,0,70,153,438
28:23:30,250,28,0,355,65,240,292,38,41,305,131,29,448,0,0,92,29,44,46,0,0,1294,1463,613,0,47,0,70,153,438
28:23:45,250,33,0,357,64,240,292,10,41,304,131,30,449,0,0,93,49,45,45,0,0,1295,1456,614,0,44,0,71,152,438
29:00:00,250,33,0,355,65,240,293,0,41,305,131,30,449,0,0,92,50,43,46,0,0,1294,1463,615,0,42,0,71,154,438
29:00:15,250,33,89,357,64,240,294,0,41,303,131,29,449,0,0,92,62,43,77,42,0,1294,1463,614,0,35,0,70,154,437
29:00:30,250,33,90,357,64,240,295,0,41,303,130,28,447,0,0,92,62,43,76,42,0,1294,1465,615,0,36,0,71,152,437
29:00:45,250,33,90,359,64,240,294,0,41,303,132,28,448,0,0,92,62,41,77,38,0,1294,1463,614,0,35,0,59,154,437
29:01:00,250,33,89,356,64,240,295,0,41,304,129,29,447,0,0,93,61,0,76,0,0,1312,1463,613,19,35,0,77,153,437
29:01:15,250,34,90,357,64,240,296,0,41,304,130,29,446,0,0,93,61,0,76,0,0,1312,1461,614,21,35,0,77,153,437
29:01:30,250,33,90,358,64,240,294,0,41,305,130,28,445,0,0,91,61,43,76,0,0,1311,1461,614,21,46,0,77,153,436
29:01:45,250,33,90,357,64,240,293,0,41,304,131,28,445,0,0,93,62,44,75,0,0,1311,1462,613,21,46,0,77,153,435
29:02:00,250,33,89,359,64,240,294,0,41,305,131,23,445,0,0,93,62,42,76,42,0,1311,1462,613,21,46,0,78,155,436
29:02:15,250,34,89,358,64,240,294,0,41,304,131,22,445,0,0,91,62,44,77,42,0,1313,1462,613,21,46,0,77,152,437
29:02:30,377,34,91,359,63,240,294,0,41,304,132,28,445,0,0,91,61,44,77,43,0,1312,1461,613,21,46,0,77,153,438
29:02:45,377,34,90,360,64,240,294,0,41,304,132,23,445,0,0,92,62,43,77,43,0,1312,1459,613,21,46,0,77,154,435
29:03:00,377,34,91,358,64,240,294,0,41,304,132,29,446,0,0,92,62,43,77,44,0,1312,1459,613,21,46,0,77,152,435
29:03:15,377,34,90,358,64,240,294,0,41,305,132,29,445,0,0,92,62,44,77,43,0,1311,1460,613,21,46,0,78,153,437
29:03:30,377,33,89,358,64,240,294,0,41,305,130,28,445,0,0,91,62,44,77,43,0,1312,1459,614,21,46,0,78,153,436
29:03:45,377,33,90,359,63,240,294,0,41,304,131,28,445,0,0,92,62,43,77,43,0,1312,1458,613,21,46,0,77,153,438
29:04:00,377,33,90,359,63,240,295,0,41,304,132,29,0,0,0,93,62,44,77,44,0,0,0,614,21,46,0,77,154,437
29:04:15,378,32,91,358,64,239,294,0,41,304,130,29,0,0,0,93,61,44,77,44,0,0,0,614,21,46,0,76,152,438
29:04:30,377,32,89,360,64,239,294,0,41,304,132,29,0,0,0,92,62,43,77,44,0,0,0,615,21,46,0,77,152,437
29:04:45,377,33,90,360,64,239,294,0,41,304,132,28,0,0,0,92,63,43,78,43,0,0,0,614,21,46,0,78,154,413
29:05:00,378,33,89,360,64,239,294,0,41,304,132,29,0,0,0,92,63,44,78,43,0,0,0,614,21,46,0,78,153,414
29:05:15,378,33,91,359,64,240,294,0,41,304,131,29,0,0,0,91,63,43,78,44,0,0,0,615,21,46,0,78,154,414
29:05:30,378,33,91,359,64,239,294,0,41,303,132,29,0,0,0,91,63,43,76,44,0,0,0,616,21,46,0,77,152,414
29:05:45,377,33,91,358,64,239,294,0,40,303,131,28,0,0,0,91,63,44,77,44,0,0,0,616,21,46,0,77,154,415
29:06:00,378,33,90,360,64,239,294,0,40,303,131,28,0,0,0,90,63,44,77,44,0,0,0,615,21,46,0,77,154,415
29:06:15,378,33,90,359,64,239,294,0,41,304,130,29,0,0,0,90,64,44,77,43,0,0,0,615,21,46,0,77,154,414
29:06:30,378,33,90,359,64,239,294,0,41,303,132,29,0,0,0,91,64,43,77,43,0,0,0,615,21,46,0,77,154,414
29:06:45,378,33,90,357,64,238,292,0,41,304,133,28,0,0,0,93,63,43,77,44,0,0,0,615,21,46,0,78,154,415
29:07:00,378,33,91,358,64,238,292,0,41,304,133,28,0,0,0,91,63,43,77,43,0,0,0,615,21,46,0,78,153,415
29:07:15,378,33,90,357,64,239,292,0,41,304,130,29,0,0,0,90,63,45,78,44,0,0,0,614,21,46,0,77,154,414
29:07:30,378,33,89,357,64,239,293,0,41,304,132,29,0,0,0,92,63,44,78,44,0,0,0,614,21,46,0,78,151,414
29:07:45,378,33,88,358,64,239,293,0,41,304,132,28,0,0,0,91,62,45,77,43,0,0,0,614,21,46,0,77,153,415
29:08:00,378,33,90,357,64,241,295,0,41,252,131,29,0,0,0,92,62,44,77,44,0,0,0,615,21,46,0,77,151,415
29:08:15,378,32,89,358,64,241,292,0,41,252,130,23,0,0,0,90,63,44,77,44,0,0,0,615,21,46,0,77,152,414
29:08:30,379,31,85,357,64,241,294,0,41,252,129,30,0,0,0,91,63,45,77,43,0,0,0,615,21,46,0,77,152,414
29:08:45,378,30,89,359,64,241,293,0,41,304,131,29,0,0,0,92,63,45,77,44,0,0,0,614,21,46,0,78,151,414
29:09:00,378,31,88,356,64,241,292,0,41,304,129,29,0,0,0,91,63,45,77,44,0,0,0,615,21,46,0,76,151,415
29:09:15,378,31,87,357,64,241,293,0,41,303,130,30,0,0,0,90,63,44,77,44,0,0,0,614,21,46,0,77,153,414
29:09:30,378,31,89,358,64,241,292,0,41,303,130,30,0,0,0,91,62,45,77,43,0,0,0,614,21,46,0,77,152,414
29:09:45,378,31,90,357,64,241,292,0,41,303,130,29,0,0,0,90,62,45,77,44,0,0,0,614,21,46,0,77,152,414
29:10:00,378,31,88,359,64,241,293,0,41,304,131,29,0,0,0,91,63,45,77,44,0,0,0,613,21,46,0,77,151,415
29:10:15,378,31,91,356,64,241,293,0,41,303,129,23,0,0,0,89,5,45,77,43,0,0,0,613,21,46,0,69,152,415
29:10:30,378,15,92,357,65,241,294,0,41,303,131,30,0,0,0,90,3,45,77,43,0,0,0,613,21,46,0,70,151,414
29:10:45,378,20,89,357,64,240,294,0,41,303,129,30,0,0,0,89,4,44,78,44,0,0,0,613,21,45,0,71,152,415
29:11:00,378,14,88,357,65,240,295,0,41,303,131,29,0,0,0,89,2,45,78,0,0,0,0,613,21,45,0,70,152,414
29:11:15,378,12,89,358,64,240,295,0,41,303,131,23,0,0,0,91,4,45,77,0,0,0,0,614,21,45,0,75,154,414
29:11:30,378,16,90,359,64,240,294,0,41,303,131,30,448,0,0,90,31,45,77,0,0,752,1053,613,21,45,0,72,154,414
29:11:45,378,15,93,358,64,240,293,0,41,303,130,30,449,0,0,91,0,44,77,0,0,752,1513,614,21,45,0,75,153,414
29:12:00,378,10,91,357,64,240,294,0,41,302,130,30,450,0,0,91,0,44,77,0,0,1318,1514,614,21,45,124,72,152,413
29:12:15,379,10,91,357,64,240,295,0,41,302,129,31,450,0,0,91,0,45,74,0,0,1311,1514,615,22,45,125,70,152,414
29:12:30,378,11,89,357,64,240,294,0,41,302,130,30,448,0,0,90,0,45,70,42,0,1202,1514,615,22,45,126,76,153,414
29:12:45,379,19,89,358,64,240,294,0,41,302,129,30,449,0,0,90,0,45,68,43,0,1200,1513,615,23,45,126,76,154,414
29:13:00,379,27,91,359,64,240,0,0,0,302,131,30,448,0,0,92,15,44,71,42,0,1198,1510,614,23,45,126,77,153,414
29:13:15,379,14,90,358,64,240,0,0,0,302,131,29,449,0,0,90,14,45,77,43,0,1191,1510,614,23,45,125,74,154,414
29:13:30,379,14,89,357,64,240,0,0,0,302,129,29,448,0,0,92,14,44,77,43,0,1188,1511,614,23,45,125,77,152,414
29:13:45,379,13,90,357,64,240,0,0,0,302,129,30,450,0,0,85,0,45,77,43,0,1188,1511,614,23,45,126,76,154,414
29:14:00,381,14,91,358,64,240,0,0,0,302,130,28,449,0,0,88,0,45,78,43,0,1186,1509,614,23,45,126,76,154,414
29:14:15,381,18,89,358,64,240,0,0,0,302,129,30,449,0,0,85,0,45,77,43,0,1186,1509,614,23,45,126,71,154,414
29:14:30,381,14,89,357,64,240,0,0,0,302,130,30,448,0,0,88,0,45,77,44,0,1185,1508,614,23,45,126,72,152,413
29:14:45,381,14,90,357,64,240,0,0,0,255,131,29,448,0,0,89,0,45,77,44,0,1185,1508,615,23,45,126,69,152,413
