,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
16:00:00,259,0,0,365,63,240,294,0,0,180,136,27,578,35,0,0,61,44,0,39,0,1324,1537,624,24,46,0,0,154,429
16:00:15,259,29,89,367,0,240,294,0,0,306,135,27,580,35,0,0,59,44,0,39,0,1325,1539,624,24,46,0,0,155,429
16:00:30,258,26,93,368,0,240,294,0,0,305,134,21,580,35,0,0,60,43,0,38,0,1325,1536,624,24,46,0,0,155,429
16:00:45,259,29,94,368,62,240,294,0,0,307,134,21,579,35,0,0,59,43,0,38,0,1323,1536,624,0,46,0,0,155,435
16:01:00,259,8,95,367,62,240,295,0,0,308,135,27,579,35,0,0,59,44,0,43,0,1324,1535,624,0,46,0,38,156,435
16:01:15,259,13,94,366,62,240,295,0,0,309,135,27,579,35,0,0,60,43,45,44,0,1325,1535,624,0,46,0,44,156,435
16:01:30,259,12,93,366,62,240,294,0,0,309,136,21,579,35,0,0,59,44,46,44,0,1325,1538,624,0,46,0,46,154,435
16:01:45,259,14,92,367,62,240,294,0,0,308,136,27,579,35,0,0,61,44,47,43,0,1325,1537,624,0,46,0,45,155,435
16:02:00,259,16,92,367,62,240,294,0,0,309,134,21,579,35,0,0,60,44,44,44,0,1325,1535,625,0,46,0,44,154,436
16:02:15,259,30,94,366,62,240,294,0,0,309,133,27,579,35,0,0,61,43,46,43,0,1323,1536,624,0,46,0,45,157,430
16:02:30,259,31,93,368,62,241,294,0,0,309,135,27,579,35,0,0,60,44,45,43,0,1324,1535,623,0,46,0,45,155,427
16:02:45,259,31,92,366,62,240,294,0,0,308,135,27,578,35,0,0,61,45,46,43,0,1324,1536,622,0,46,0,45,155,423
16:03:00,259,31,93,365,62,241,295,0,0,307,135,21,579,35,0,0,61,44,46,43,0,1324,1534,622,0,46,0,45,155,421
16:03:15,259,31,92,366,62,241,294,0,0,308,135,27,579,35,0,0,59,44,46,43,0,1323,1535,623,0,46,0,45,155,430
16:03:30,259,31,93,364,62,241,294,0,0,308,135,27,580,35,0,0,60,44,46,44,0,1320,1533,622,0,46,0,46,155,424
16:03:45,259,31,94,365,62,241,294,0,0,308,134,21,580,35,0,0,59,43,46,44,0,1324,1468,621,0,46,0,45,154,425
16:04:00,259,31,93,366,62,241,294,0,0,307,135,21,580,35,0,0,59,44,47,43,0,1323,1538,621,0,46,0,45,156,422
16:04:15,259,31,93,335,62,241,294,0,0,308,134,21,579,35,0,0,59,44,46,44,0,1323,1537,621,0,46,0,46,155,429
16:04:30,259,31,94,331,62,241,294,0,0,308,136,21,580,35,0,0,58,44,46,44,0,1324,1538,621,0,47,0,46,155,430
