,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
19:15:00,254,33,93,364,0,239,292,78,41,256,135,27,580,0,0,0,0,44,72,44,0,1326,1546,630,0,46,132,77,154,436
19:15:15,254,33,89,363,0,240,292,78,41,310,135,27,579,0,0,0,0,43,72,34,0,1326,1546,630,0,44,132,77,154,436
19:15:30,254,33,0,365,0,240,292,78,41,280,135,27,579,0,0,0,0,43,77,38,0,1326,1547,630,0,46,132,77,153,436
19:15:45,254,32,0,363,0,239,292,80,41,290,135,29,579,0,0,0,0,44,72,38,0,1324,1547,630,0,0,132,78,156,436
19:16:00,254,32,0,362,0,239,292,78,41,307,136,29,580,0,0,0,0,43,72,38,0,1327,1548,630,0,0,132,72,153,436
19:16:15,254,32,0,364,0,239,292,79,41,307,135,30,580,0,0,0,0,44,71,34,0,1325,1545,629,0,0,131,75,154,437
19:16:30,254,32,0,364,0,239,292,80,41,307,134,30,580,0,0,0,0,43,71,38,0,1326,1547,629,0,0,131,70,155,438
19:16:45,254,32,0,363,0,239,292,79,41,307,136,31,580,0,0,0,0,43,71,38,0,1326,1548,629,0,0,131,78,154,438
19:17:00,254,32,0,364,0,239,293,79,41,307,134,23,581,0,0,0,0,0,72,0,0,1325,1547,629,0,0,121,73,153,438
19:17:15,254,17,0,363,0,239,292,78,41,306,136,29,580,0,0,0,0,0,72,0,0,1326,1613,629,0,0,130,76,153,437
19:17:30,254,16,0,362,0,239,291,78,41,306,135,29,580,0,0,0,0,0,77,39,0,1325,1547,629,0,0,130,77,155,438
19:17:45,254,13,0,362,0,239,291,78,41,306,136,22,580,0,0,0,0,45,78,43,0,1324,1547,629,0,0,130,73,154,437
19:18:00,254,13,0,363,0,239,290,78,41,306,135,23,580,0,0,0,0,27,79,42,0,1324,1547,628,0,0,129,70,154,436
19:18:15,254,32,0,366,0,240,291,80,41,306,135,28,579,0,0,0,0,45,78,42,0,1325,1546,628,0,0,126,70,155,436
19:18:30,254,30,0,364,0,240,291,79,41,306,135,21,580,0,0,0,0,42,79,43,0,1323,1546,628,0,0,126,69,154,434
19:18:45,254,0,0,362,0,240,291,79,41,306,135,21,579,0,0,0,0,42,77,36,0,1323,1546,628,0,0,126,70,153,437
19:19:00,254,0,92,362,0,240,291,78,41,306,134,21,578,0,0,0,0,42,77,36,0,1323,1546,629,0,0,129,78,153,436
19:19:15,254,0,83,364,0,240,291,79,41,306,136,21,578,0,0,0,0,41,78,0,0,1324,1548,629,0,0,130,77,153,437
19:19:30,254,0,81,363,0,240,291,78,41,306,136,21,578,0,0,0,0,0,77,0,0,1324,1547,628,0,0,130,76,154,436
19:19:45,254,0,77,364,0,240,292,78,41,305,134,22,581,0,0,0,0,0,77,0,0,1323,1545,628,0,29,130,74,153,436
19:20:00,254,0,76,361,0,240,292,77,41,306,137,22,581,0,0,0,0,0,78,0,0,1323,1545,628,0,26,130,77,153,436
19:20:15,253,0,76,364,0,240,292,77,41,306,136,26,581,0,0,0,0,0,77,0,0,1324,1546,628,0,44,130,70,152,437
19:20:30,253,0,75,362,0,240,292,78,41,306,134,26,581,0,0,0,0,0,77,0,0,1323,1546,628,0,44,130,70,154,436
19:20:45,253,0,0,362,0,240,292,78,41,306,135,22,581,0,0,0,0,0,76,0,0,1320,1546,628,0,44,130,71,154,436
19:21:00,253,0,0,363,0,240,292,78,41,306,136,22,581,0,0,0,0,0,77,0,0,1324,1548,628,0,36,130,70,153,437
19:21:15,253,0,0,362,0,239,292,78,41,306,136,22,581,0,0,0,54,0,77,0,0,1324,1548,628,0,44,130,69,154,437
19:21:30,253,0,0,364,0,239,292,78,41,307,135,22,582,0,0,0,5,0,77,0,0,1324,1547,628,0,44,130,71,154,438
19:21:45,253,0,0,363,0,239,293,77,41,305,135,27,582,0,0,0,0,0,78,0,0,1325,1545,628,24,41,131,70,155,438
19:22:00,253,0,0,361,0,239,293,78,41,305,135,27,582,0,0,0,0,0,77,0,0,1326,1547,628,23,22,131,32,153,438
19:22:15,252,0,0,362,0,239,293,79,40,306,136,28,582,0,0,0,0,0,77,0,0,1328,1548,629,20,44,129,32,154,439
19:22:30,253,0,84,362,0,239,293,79,40,305,137,23,582,0,0,0,0,0,76,0,0,1327,1549,628,0,44,129,32,154,439
19:22:45,252,0,78,361,0,239,293,77,40,305,135,28,583,0,0,0,0,0,76,0,0,1328,1549,629,0,44,129,32,153,439
19:23:00,501,0,93,362,0,239,293,78,40,306,134,28,583,0,0,0,0,0,77,0,0,1328,1549,629,0,44,127,32,154,437
19:23:15,502,0,0,363,0,239,293,79,40,306,134,28,582,0,0,0,0,22,43,0,0,1328,1548,628,0,44,0,70,154,71
19:23:30,498,0,0,363,0,239,293,79,40,308,133,28,582,0,0,0,0,44,37,0,0,1329,1548,629,0,44,0,71,154,71
19:23:45,506,0,0,365,0,238,293,77,40,309,133,28,583,0,0,0,0,44,0,0,0,1328,1549,629,0,31,0,72,154,436
20:00:00,504,0,0,365,0,238,293,0,40,309,134,28,583,0,0,0,0,45,0,0,0,1327,1549,629,0,31,0,57,154,435
20:00:15,500,0,92,363,0,238,294,0,40,309,134,28,582,0,0,0,0,44,0,0,0,1325,1539,629,0,31,0,78,154,432
20:00:30,508,0,92,364,0,238,293,0,40,308,134,28,582,0,0,0,61,45,0,0,0,1331,1549,629,0,28,0,77,154,435
20:00:45,491,0,93,364,0,238,293,0,40,309,134,28,584,0,0,0,0,44,44,0,0,1331,1548,629,0,44,0,77,154,435
20:01:00,504,0,94,366,0,238,293,0,40,309,134,28,584,0,0,0,0,44,41,39,0,1332,1548,629,0,44,0,77,154,435
20:01:15,504,0,92,364,0,238,294,0,40,308,134,28,584,0,0,0,0,45,41,38,0,1332,1549,629,0,44,0,77,154,436
20:01:30,503,0,95,363,0,238,293,0,40,308,134,28,583,0,0,0,0,27,30,43,0,1331,1550,628,21,44,0,77,153,436
20:01:45,507,0,94,363,0,238,292,0,40,308,135,23,582,0,0,0,60,44,43,43,0,1331,1547,628,21,44,0,77,153,436
20:02:00,507,0,94,363,0,238,293,0,40,308,134,27,583,0,0,0,61,44,43,43,0,1332,1549,628,21,44,0,77,154,436
20:02:15,507,0,95,364,0,238,293,0,40,310,135,27,581,0,0,0,59,45,43,43,0,1329,1545,628,21,44,0,77,152,436
20:02:30,506,0,92,364,0,238,293,0,40,213,134,27,582,0,0,0,59,45,42,44,0,1331,1545,628,21,44,0,78,154,436
20:13:30,253,0,91,367,0,239,295,79,40,258,134,23,576,0,0,0,55,44,77,44,0,1324,1551,625,24,45,0,78,155,434
20:13:45,253,0,91,333,0,240,295,79,40,258,134,23,576,0,0,0,56,45,77,43,0,1322,1553,625,24,45,0,77,155,435
20:14:00,253,0,92,369,0,240,295,78,40,259,136,23,577,0,0,0,57,45,77,44,0,1324,1552,625,24,45,0,78,155,437
20:14:15,508,0,92,367,0,240,295,77,40,259,133,23,577,0,0,0,55,44,77,43,0,1323,1551,624,24,45,0,55,155,437
20:14:30,514,0,91,366,0,240,295,78,40,259,133,23,577,0,0,0,57,45,78,43,0,1321,1552,624,24,45,0,77,155,438
20:14:45,511,10,91,368,0,242,295,78,40,258,135,23,577,0,0,0,57,45,78,43,0,1322,1552,624,24,45,0,77,156,441
