,DualDragon,Niu,Fish,91Su,Havana,Leviathan,czboys,Xaq,ATalkingDog,nita,knl,xinghuo,mie523,coolmoon,jibber,hydra,hmm,reve,whbscnbiot,steve,yohen,91song,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu
hashrate,427.0,35.0,75.0,477.0,42.0,234.0,90.0,295.0,2.0,172.0,40.0,250.0,125.0,6.0,568.0,82.0,0.0,39.0,60.0,89.0,120.0,34.0,43.0,41.0,56.0,29.0,220.0,1209.0,1526.0,569.0,20.0,43.0,113.0
hashrate,0.006620266442294209,0.0005426447903519843,0.0011628102650399663,0.007395473285654187,0.0006511737484223813,0.0036279680269246956,0.0013953723180479597,0.0045737203758238676,3.10082737343991e-05,0.002666711541158323,0.0006201654746879821,0.003876034216799888,0.001938017108399944,9.302482120319732e-05,0.008806349740569345,0.001271339223110363,0.0,0.0006046613378207826,0.0009302482120319731,0.0013798681811807603,0.0018604964240639462,0.0005271406534847848,0.0006666778852895808,0.0006356696115551816,0.000868231664563175,0.000449619969148787,0.0034109101107839012,0.018744501472444258,0.023659312859346516,0.008821853877436545,0.00031008273734399103,0.0006666778852895808,0.0017519674659935492
