,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
18:00:00,508,0,93,362,0,239,290,69,0,235,134,27,579,35,0,0,58,44,57,44,0,1313,1551,618,0,47,0,73,155,436
18:00:15,505,0,90,361,0,239,290,69,0,279,134,27,578,35,0,0,59,44,47,38,0,1311,1654,618,0,47,0,75,155,436
18:00:30,514,0,0,358,0,239,290,69,0,214,134,27,578,35,0,0,59,44,34,38,0,1311,1551,618,0,47,0,76,155,436
18:00:45,515,0,0,360,0,239,291,63,0,224,133,27,579,35,0,0,58,44,61,42,0,1311,1550,618,0,47,0,76,155,435
18:01:00,505,0,0,327,0,239,290,0,0,219,133,27,579,35,0,0,58,44,64,38,0,1311,1550,618,0,47,0,77,155,431
18:01:15,518,0,55,363,0,239,290,0,0,291,132,21,579,35,0,0,56,44,34,38,0,1311,1550,619,0,46,0,76,154,432
18:01:30,514,0,91,365,0,239,290,0,0,275,134,27,579,35,0,0,55,43,33,38,0,1312,1551,619,0,46,0,77,155,431
18:02:00,512,0,92,328,64,239,292,0,0,281,132,21,579,35,0,0,55,44,34,44,0,1311,1551,619,0,46,0,77,154,435
18:02:15,514,0,91,327,64,239,292,72,0,285,133,27,579,35,0,0,56,45,34,43,0,1310,1552,619,0,47,0,76,153,435
18:02:30,510,0,93,360,64,239,292,70,0,256,134,27,580,35,0,0,57,43,34,44,0,1310,1550,619,0,47,0,77,155,436
18:02:45,518,0,91,330,64,239,292,70,0,287,133,27,579,35,0,0,56,43,46,44,0,1308,1549,620,0,47,0,77,154,435
18:03:00,518,0,91,333,64,239,292,69,0,283,132,27,580,35,0,0,57,44,46,44,0,1308,1551,619,0,47,0,77,154,434
18:03:15,520,0,91,335,64,239,292,71,0,290,135,27,579,0,0,0,59,43,45,44,0,1308,1551,620,0,47,0,76,155,431
18:03:30,519,0,90,328,64,239,292,72,0,288,134,27,579,0,0,0,58,44,46,44,0,1307,1551,619,0,47,0,76,152,434
18:03:45,519,0,92,330,64,240,292,70,0,287,133,27,580,0,0,0,59,44,46,43,0,1306,1549,619,0,47,0,77,152,434
