,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
31:15:00,476.0,0.0,81.0,155.0,0.0,241.0,322.0,0.0,40.0,303.0,0.0,0.0,467.0,0.0,90.0,0.0,0.0,63.0,80.0,19.0,0.0,1116.0,1347.0,94.0,0.0,46.0,0.0,86.0,153.0,417.0,44.0,43.0,455.0,0.0,25.0,0.0
31:15:15,476.0,0.0,82.0,157.0,0.0,241.0,321.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,90.0,0.0,0.0,63.0,79.0,6.0,0.0,1115.0,1347.0,99.0,0.0,46.0,0.0,86.0,150.0,417.0,44.0,43.0,455.0,0.0,23.0,0.0
31:15:30,475.0,0.0,82.0,157.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,88.0,0.0,0.0,63.0,31.0,10.0,0.0,1117.0,1348.0,99.0,0.0,46.0,0.0,85.0,148.0,417.0,43.0,43.0,455.0,0.0,24.0,0.0
31:15:45,475.0,0.0,0.0,267.0,0.0,242.0,322.0,0.0,40.0,304.0,0.0,0.0,466.0,0.0,88.0,0.0,0.0,63.0,31.0,6.0,0.0,1116.0,1348.0,99.0,0.0,46.0,0.0,86.0,150.0,418.0,44.0,43.0,454.0,0.0,25.0,0.0
31:16:00,474.0,0.0,0.0,265.0,0.0,241.0,282.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,89.0,0.0,0.0,63.0,31.0,8.0,0.0,1116.0,1347.0,99.0,0.0,46.0,0.0,87.0,151.0,418.0,45.0,43.0,454.0,0.0,22.0,0.0
31:16:15,474.0,0.0,0.0,266.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,88.0,0.0,0.0,63.0,31.0,7.0,0.0,1115.0,1347.0,99.0,0.0,46.0,0.0,87.0,150.0,418.0,45.0,43.0,454.0,0.0,24.0,0.0
31:16:30,474.0,0.0,0.0,265.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,88.0,0.0,0.0,63.0,31.0,0.0,0.0,1117.0,1348.0,99.0,0.0,46.0,0.0,86.0,151.0,418.0,44.0,43.0,454.0,0.0,24.0,0.0
31:16:45,475.0,0.0,0.0,261.0,0.0,242.0,321.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,88.0,0.0,0.0,64.0,31.0,13.0,0.0,1116.0,1346.0,99.0,0.0,46.0,0.0,87.0,150.0,419.0,44.0,43.0,453.0,0.0,23.0,0.0
31:17:00,475.0,0.0,0.0,263.0,0.0,242.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,87.0,0.0,0.0,64.0,31.0,10.0,0.0,1116.0,1346.0,99.0,0.0,46.0,0.0,85.0,149.0,418.0,44.0,43.0,454.0,0.0,24.0,0.0
31:17:15,473.0,0.0,0.0,261.0,0.0,242.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,87.0,0.0,0.0,64.0,31.0,36.0,0.0,1115.0,1344.0,99.0,0.0,46.0,0.0,86.0,150.0,417.0,44.0,43.0,452.0,0.0,24.0,0.0
31:17:30,473.0,0.0,90.0,259.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,87.0,0.0,0.0,64.0,31.0,38.0,0.0,1117.0,1346.0,99.0,0.0,46.0,0.0,86.0,150.0,418.0,45.0,43.0,452.0,0.0,25.0,0.0
31:17:45,473.0,0.0,89.0,260.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,467.0,0.0,89.0,0.0,0.0,64.0,31.0,39.0,0.0,1115.0,1342.0,67.0,0.0,42.0,0.0,86.0,151.0,418.0,44.0,43.0,454.0,0.0,25.0,0.0
31:18:00,472.0,0.0,89.0,257.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,466.0,0.0,87.0,0.0,0.0,64.0,31.0,38.0,0.0,650.0,1345.0,100.0,0.0,24.0,0.0,87.0,151.0,418.0,44.0,43.0,454.0,0.0,25.0,0.0
31:18:15,470.0,0.0,87.0,260.0,0.0,240.0,322.0,0.0,40.0,304.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,63.0,31.0,39.0,0.0,1117.0,1345.0,100.0,0.0,24.0,0.0,86.0,150.0,418.0,44.0,43.0,452.0,0.0,25.0,0.0
31:18:30,471.0,0.0,87.0,256.0,0.0,240.0,322.0,0.0,40.0,304.0,0.0,0.0,465.0,0.0,0.0,0.0,57.0,63.0,31.0,38.0,0.0,1107.0,1347.0,99.0,0.0,41.0,0.0,86.0,150.0,418.0,45.0,43.0,451.0,0.0,25.0,0.0
31:18:45,468.0,0.0,87.0,259.0,0.0,240.0,322.0,0.0,40.0,304.0,0.0,0.0,465.0,0.0,0.0,0.0,58.0,62.0,31.0,39.0,0.0,1106.0,1344.0,100.0,0.0,25.0,0.0,86.0,149.0,417.0,44.0,43.0,452.0,0.0,24.0,0.0
31:19:00,468.0,0.0,88.0,259.0,0.0,241.0,322.0,0.0,40.0,303.0,0.0,0.0,464.0,0.0,0.0,183.0,59.0,63.0,31.0,38.0,0.0,1106.0,1343.0,99.0,0.0,25.0,0.0,86.0,149.0,417.0,0.0,43.0,452.0,0.0,25.0,0.0
31:19:15,468.0,0.0,33.0,259.0,0.0,241.0,322.0,0.0,40.0,303.0,0.0,0.0,464.0,0.0,0.0,187.0,60.0,63.0,31.0,39.0,0.0,1108.0,1343.0,99.0,0.0,27.0,0.0,85.0,150.0,417.0,0.0,43.0,452.0,0.0,23.0,0.0
31:19:30,467.0,0.0,0.0,257.0,0.0,240.0,322.0,0.0,40.0,304.0,0.0,0.0,463.0,0.0,0.0,177.0,59.0,62.0,77.0,38.0,0.0,1107.0,1342.0,99.0,0.0,25.0,0.0,86.0,149.0,417.0,0.0,43.0,452.0,0.0,25.0,0.0
31:19:45,469.0,0.0,0.0,257.0,0.0,241.0,322.0,0.0,40.0,303.0,0.0,0.0,464.0,0.0,0.0,179.0,60.0,64.0,77.0,39.0,0.0,1107.0,1344.0,67.0,0.0,27.0,0.0,84.0,151.0,417.0,0.0,43.0,453.0,0.0,25.0,0.0
31:20:00,468.0,0.0,0.0,192.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,464.0,0.0,0.0,166.0,59.0,64.0,78.0,38.0,0.0,1108.0,1344.0,67.0,0.0,24.0,0.0,85.0,150.0,417.0,0.0,43.0,453.0,0.0,25.0,0.0
31:20:15,468.0,0.0,0.0,192.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,464.0,0.0,0.0,167.0,60.0,62.0,31.0,38.0,0.0,1106.0,1344.0,67.0,0.0,24.0,0.0,85.0,151.0,417.0,0.0,43.0,453.0,0.0,25.0,0.0
31:20:30,469.0,0.0,0.0,194.0,0.0,242.0,322.0,0.0,40.0,305.0,0.0,0.0,464.0,0.0,0.0,185.0,59.0,62.0,31.0,38.0,0.0,1106.0,1341.0,99.0,0.0,45.0,0.0,85.0,152.0,417.0,0.0,43.0,453.0,0.0,25.0,0.0
31:20:45,468.0,0.0,0.0,195.0,0.0,240.0,322.0,0.0,40.0,305.0,0.0,0.0,464.0,0.0,0.0,182.0,60.0,63.0,31.0,38.0,0.0,1106.0,1341.0,99.0,0.0,0.0,0.0,84.0,151.0,417.0,0.0,43.0,453.0,0.0,25.0,0.0
31:21:00,467.0,0.0,69.0,193.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,463.0,0.0,0.0,180.0,59.0,0.0,31.0,38.0,0.0,1106.0,1342.0,67.0,0.0,0.0,0.0,85.0,151.0,416.0,0.0,43.0,454.0,0.0,25.0,0.0
31:21:15,466.0,0.0,88.0,194.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,185.0,58.0,0.0,31.0,32.0,0.0,1106.0,1340.0,67.0,0.0,0.0,0.0,85.0,151.0,417.0,0.0,43.0,454.0,0.0,25.0,0.0
31:21:30,467.0,0.0,79.0,194.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,141.0,59.0,0.0,31.0,28.0,0.0,1107.0,1344.0,99.0,0.0,0.0,0.0,85.0,152.0,416.0,0.0,43.0,454.0,0.0,25.0,0.0
31:21:45,467.0,0.0,77.0,194.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,186.0,0.0,0.0,36.0,4.0,0.0,1106.0,1343.0,99.0,0.0,0.0,0.0,85.0,151.0,416.0,44.0,43.0,454.0,0.0,25.0,0.0
31:22:00,466.0,0.0,81.0,195.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,178.0,0.0,0.0,31.0,0.0,0.0,1107.0,1341.0,99.0,0.0,0.0,0.0,82.0,150.0,416.0,44.0,43.0,454.0,0.0,25.0,0.0
31:22:15,465.0,0.0,82.0,192.0,0.0,240.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,181.0,0.0,0.0,38.0,6.0,0.0,1109.0,1343.0,98.0,0.0,0.0,0.0,76.0,150.0,417.0,44.0,43.0,455.0,0.0,24.0,0.0
31:22:30,465.0,0.0,86.0,192.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,174.0,0.0,0.0,40.0,8.0,0.0,1111.0,1342.0,98.0,0.0,0.0,0.0,76.0,150.0,416.0,44.0,43.0,455.0,0.0,25.0,0.0
31:22:45,466.0,0.0,82.0,192.0,0.0,241.0,322.0,0.0,40.0,304.0,0.0,0.0,462.0,0.0,0.0,157.0,0.0,0.0,31.0,8.0,0.0,1110.0,1344.0,98.0,0.0,0.0,0.0,81.0,150.0,416.0,45.0,43.0,454.0,0.0,25.0,0.0
